Attrition_status,department,satisfaction,filed_complaint,projects,recently_promoted,salary,tenure
Employed,admin,6,0,4,0,high,5
Employed,admin,4,0,3,0,medium,6
Employed,admin,6,0,2,0,medium,2
Employed,admin,2,1,4,0,medium,3
Employed,admin,5,0,4,0,medium,3
Employed,admin,10,1,5,0,medium,2
Employed,admin,4,0,3,0,medium,2
Left,admin,4,0,2,0,medium,3
Employed,admin,3,0,5,0,low,4
Employed,admin,9,0,3,0,low,2
Employed,admin,10,0,6,0,medium,4
Left,admin,5,0,2,0,medium,3
Employed,admin,4,0,5,0,medium,5
Employed,admin,7,0,3,0,medium,3
Left,admin,4,0,2,0,low,3
Left,admin,5,0,2,0,low,3
Employed,admin,10,0,5,0,medium,3
Employed,admin,6,1,5,0,low,3
Left,admin,4,0,2,0,medium,3
Employed,admin,9,0,4,0,low,2
Employed,admin,7,0,6,0,medium,6
Employed,admin,9,0,3,0,medium,4
Employed,admin,10,0,3,1,medium,2
Employed,admin,7,0,4,0,low,3
Employed,admin,7,0,4,0,low,4
Employed,admin,9,0,4,0,low,4
Employed,admin,2,1,5,0,medium,3
Employed,admin,7,0,5,0,low,2
Left,admin,4,0,2,0,medium,3
Employed,admin,4,0,2,0,low,3
Left,admin,4,0,2,0,medium,3
Left,admin,5,0,2,0,low,3
Employed,admin,6,0,3,0,low,2
Employed,admin,8,0,3,0,low,2
Employed,admin,2,0,4,0,low,5
Left,admin,4,0,2,0,low,3
Employed,admin,8,1,3,0,medium,3
Left,admin,7,1,5,0,low,5
Employed,admin,5,0,3,0,medium,4
Employed,admin,10,0,2,0,low,4
Left,admin,5,0,2,0,medium,3
Employed,admin,7,1,5,0,low,5
Employed,admin,10,0,4,0,medium,3
Employed,admin,9,0,6,0,high,4
Employed,admin,7,0,4,0,low,3
Employed,admin,5,0,3,0,low,4
Employed,admin,10,0,5,0,medium,2
Employed,admin,5,0,4,0,low,5
Employed,admin,8,0,3,0,medium,2
Employed,admin,10,0,3,0,low,8
Employed,admin,9,0,3,0,medium,4
Employed,admin,10,0,4,0,medium,4
Employed,admin,3,0,5,0,low,6
Employed,admin,9,0,3,0,high,5
Employed,admin,3,0,2,0,low,5
Employed,admin,4,0,6,0,low,2
Employed,admin,9,0,4,0,medium,3
Employed,admin,9,0,4,0,medium,2
Employed,admin,4,0,2,0,high,4
Employed,admin,8,0,5,0,low,3
Employed,admin,4,0,3,0,high,3
Employed,admin,7,0,2,0,medium,2
Employed,admin,5,1,3,0,medium,2
Employed,admin,6,0,3,0,low,2
Employed,admin,9,0,4,0,low,3
